@relation poker

@attribute cards_dealt numeric
@attribute player_position numeric
@attribute profitability numeric
@attribute card1 {2, 3, 4, 5, 6, 7, 8, 9, T, J, Q, K, A}
@attribute card2 {2, 3, 4, 5, 6, 7, 8, 9, T, J, Q, K, A}
@attribute suited {yes, no}
@attribute win {yes, no}

@data
8,4,1.022669047155837,A,3,yes,no
4,4,1.0520577866600866,7,5,yes,yes
11,2,0.8307527021729468,3,7,yes,no
14,5,1.4927392736948417,K,K,no,no
5,5,1.0825533658854698,A,T,yes,no
10,7,0.9981733096365771,9,T,no,no
10,4,2.017809694213276,6,7,yes,yes
9,9,0.9202716017886171,K,A,yes,yes
3,3,0.9944912135581042,A,5,no,yes
4,2,1.0007002934625784,5,T,no,yes
10,7,1.1697694458805734,A,9,yes,yes
10,6,1.018714678922945,J,9,no,yes
6,2,1.0432621626746306,9,7,yes,no
10,1,1.033413096967467,Q,Q,no,no
6,2,0.9581505145015642,3,A,yes,yes
5,3,1.098564009821231,A,T,no,no
10,7,0.7246791950044947,A,Q,no,no
6,1,1.055723252329762,J,T,yes,no
13,3,1.1560560220475353,K,Q,yes,no
2,2,0.926839829782669,5,2,yes,yes
5,2,0.9754320146937198,7,K,no,yes
3,1,1.0589163857436683,9,Q,yes,no
5,3,1.6580712444145247,J,J,no,yes
5,2,1.0903561620730389,T,A,no,no
9,9,1.064608539286021,5,5,no,no
6,1,1.385236100804501,Q,A,no,no
7,1,0.9911240768098023,K,9,no,yes
4,4,1.066594635425647,K,J,no,yes
9,4,1.0903561620730389,T,A,no,no
17,1,1.228849642531304,T,T,no,yes
7,5,1.1966666297555375,K,J,yes,yes
7,7,0.9801702250004967,K,6,yes,no
5,5,1.0512376271628718,T,7,yes,no
9,2,1.160641742927971,A,K,yes,yes
9,4,1.4927392736948417,K,K,no,yes
9,4,1.1252155599985252,7,7,no,yes
10,2,0.13215461700048212,9,8,no,no
6,2,1.0561913514975967,Q,3,yes,no
10,2,1.0250552626726792,A,8,no,no
4,3,1.0195546391056418,Q,9,no,no
7,5,1.0510109456457613,9,T,yes,no
5,2,0.9593124590863916,7,T,yes,yes
14,3,0.9995565460048627,J,Q,no,no
4,1,0.9872394832724579,8,3,yes,no
9,5,0.9202716017886171,K,A,yes,yes
2,2,1.0772406243741572,A,6,yes,yes
10,5,1.0888762864828898,J,A,no,yes
4,3,0.9754320146937198,7,K,no,yes
8,7,0.8126901543219694,4,3,no,yes
9,3,0.9754320146937198,7,K,no,yes
13,13,1.499635630457821,T,Q,yes,yes
4,1,0.6959677488005824,4,7,no,yes
6,2,1.606942190967464,K,A,no,yes
9,2,1.0322855538829272,T,3,yes,yes
10,9,0.9555280189722083,5,A,no,yes
13,6,0.9771872618253654,7,6,yes,no
7,5,0.9801702250004967,K,6,yes,no
7,5,0.9123650269552018,6,7,no,no
2,2,0.9032557806963293,5,9,no,no
11,8,1.499635630457821,T,Q,yes,yes
11,2,1.1977937724801682,A,K,no,yes
3,3,0.9556837876139024,3,J,yes,no
4,4,0.9560958418310856,7,5,no,yes
6,4,1.1977937724801682,A,K,no,no
10,3,1.098564009821231,A,T,no,no
5,3,0.353139097958944,J,A,yes,yes
9,2,0.8900681880443538,6,J,no,no
10,2,1.1977937724801682,A,K,no,no
8,1,0.7984114193165837,8,7,no,no
4,2,1.1318441245337645,A,9,no,yes
12,7,1.036282121181788,9,J,yes,no
8,1,1.228849642531304,T,T,no,no
7,2,0.9359488723201314,J,8,no,no
4,2,1.0052515828841737,T,5,yes,yes
4,1,1.1844233195273535,A,Q,yes,yes
5,3,1.1977937724801682,A,K,no,yes
10,8,1.1252155599985252,7,7,no,no
10,1,0.9593124590863916,7,T,yes,yes
6,1,1.1582356438275476,A,J,yes,no
12,1,1.026396340255781,K,T,no,no
2,2,0.9462466159106948,A,2,no,yes
7,5,0.7855972656019801,3,7,no,no
2,1,0.8126901543219694,4,3,no,no
10,10,1.6580712444145247,J,J,no,no
6,1,1.0023407350367866,T,K,no,no
4,4,0.21832638137051347,K,4,no,no
8,3,1.0120486956739894,K,7,yes,yes
6,2,1.1977937724801682,A,K,no,no
7,2,1.077283938588873,K,Q,no,no
4,1,2.027734106257578,4,4,no,no
9,9,0.896201335709008,K,3,no,no
7,4,1.1100872160816522,T,K,yes,no
10,4,0.9816706400118665,2,2,no,yes
7,6,0.9228683508124942,A,4,no,yes
4,1,0.9359488723201314,J,8,no,yes
10,8,0.7856370061026258,7,6,no,yes
10,2,1.0825533658854698,A,T,yes,no
3,1,1.1370662649240875,6,6,no,yes
9,3,1.0801449777884884,A,7,yes,no
9,9,1.019601048740893,A,2,yes,no
4,2,1.1723715157132208,9,J,no,no
7,3,1.0023407350367866,T,K,no,no
9,8,1.0230320357887754,J,9,yes,yes
5,3,0.9950619774222901,Q,T,no,no
3,1,1.0903561620730389,T,A,no,yes
7,5,0.58258757199545,4,2,yes,yes
9,1,1.064608539286021,5,5,no,yes
9,8,1.228849642531304,T,T,no,no
10,9,1.0903561620730389,T,A,no,no
6,3,1.1697694458805734,A,9,yes,no
2,1,1.385236100804501,Q,A,no,no
10,3,1.098564009821231,A,T,no,yes
7,6,0.9816706400118665,2,2,no,no
6,6,1.1100872160816522,T,K,yes,yes
10,3,1.4927392736948417,K,K,no,no
2,2,0.9593124590863916,7,T,yes,no
9,1,1.0658051396487613,J,T,no,yes
3,2,1.077283938588873,K,Q,no,yes
8,6,0.8904412170405527,7,T,no,no
2,1,0.9202716017886171,K,A,yes,yes
7,6,0.9771872618253654,7,6,yes,yes
3,2,1.0432621626746306,9,7,yes,no
10,3,0.9981733096365771,9,T,no,yes
7,4,1.4927392736948417,K,K,no,yes
4,4,1.0512376271628718,T,7,yes,no
7,2,0.999259478566049,8,7,yes,no
16,3,0.7246791950044947,A,Q,no,no
10,4,0.9779939534726657,5,K,yes,yes
8,6,1.6580712444145247,J,J,no,yes
8,6,0.9249950090694465,9,9,no,no
7,1,1.1144300895694572,A,5,yes,no
2,1,0.763960801845207,8,8,no,yes
9,6,0.7246791950044947,A,Q,no,yes
9,4,0.9881659223156501,5,Q,yes,no
3,2,0.9995565460048627,J,Q,no,yes
4,2,1.0573530305961791,J,K,no,yes
5,4,0.7246791950044947,A,Q,no,no
9,7,1.0903561620730389,T,A,no,yes
6,5,1.849063315668885,7,A,no,yes
8,1,0.763960801845207,8,8,no,no
5,1,1.849063315668885,7,A,no,yes
8,4,1.025536547827629,T,Q,no,no
9,5,1.077283938588873,K,Q,no,yes
6,2,0.9359488723201314,J,8,no,no
3,3,1.1576117793074885,A,6,no,yes
8,3,1.0250552626726792,A,8,no,no
8,8,1.5785940198502193,A,A,no,yes
18,2,1.010588460990314,T,9,no,yes
9,9,1.0658051396487613,J,T,no,yes
4,3,1.0987247802759859,A,4,yes,yes
2,1,1.4927392736948417,K,K,no,yes
2,1,0.6179295869179771,Q,K,no,no
4,2,1.0250552626726792,A,8,no,yes
6,1,0.20608519301071743,3,A,no,no
10,2,1.849063315668885,7,A,no,yes
5,5,1.0347391301835382,5,8,yes,no
8,4,0.48633041101961494,4,K,no,yes
4,2,0.9230107955226143,T,8,no,yes
2,2,2.017809694213276,6,7,yes,no
7,6,1.066594635425647,K,J,no,no
10,9,1.0278074564544872,6,K,yes,no
9,6,1.0203050588814837,Q,9,yes,no
8,8,1.033413096967467,Q,Q,no,no
10,4,1.0658051396487613,J,T,no,no
3,2,0.7579543724661454,9,6,no,no
4,2,0.6179295869179771,Q,K,no,no
8,1,0.9282111688372733,K,3,yes,no
4,1,1.065492292255722,Q,T,yes,yes
4,2,0.8903594132065705,8,5,no,no
2,1,0.6179295869179771,Q,K,no,yes
4,2,0.9363361564966683,2,5,yes,yes
9,4,1.0055390428994646,7,8,yes,no
9,9,0.763960801845207,8,8,no,yes
4,3,0.9944912135581042,A,5,no,no
7,2,0.9528738302860825,T,6,no,no
10,7,1.0840612132206628,8,A,yes,yes
10,6,1.1370662649240875,6,6,no,yes
4,2,1.0840612132206628,8,A,yes,yes
9,3,0.9167134987208371,5,3,no,no
10,1,1.056764060153998,T,8,yes,no
8,7,1.018714678922945,J,9,no,no
20,18,0.6336320706388964,Q,2,yes,no
5,3,0.9746223836680726,T,2,yes,yes
9,5,1.228849642531304,T,T,no,no
7,5,1.098564009821231,A,T,no,yes
4,2,1.021961854165774,8,J,no,no
10,3,1.0511673110352975,4,A,yes,yes
12,2,1.0682915907757753,T,4,yes,yes
5,4,1.4742569044317095,T,A,yes,yes
14,7,1.5785940198502193,A,A,no,no
8,5,1.0573530305961791,J,K,no,no
10,1,1.0888762864828898,J,A,no,no
3,1,0.7325316018932512,2,4,no,no
10,2,0.9931916895117466,A,3,no,no
8,2,0.7984114193165837,8,7,no,no
6,4,1.6580712444145247,J,J,no,no
5,2,0.7941187296429084,4,8,no,yes
8,8,0.9911240768098023,K,9,no,no
4,2,1.025536547827629,T,Q,no,yes
7,6,0.9574156549222566,6,T,yes,yes
10,1,0.9977421903422917,Q,4,no,yes
8,3,0.9593124590863916,7,T,yes,yes
10,10,1.4927392736948417,K,K,no,yes
8,7,1.1144300895694572,A,5,yes,no
2,1,0.8264746677572626,3,4,no,no
8,4,1.385236100804501,Q,A,no,yes
10,2,0.9931916895117466,A,3,no,yes
9,1,0.6518417048346706,6,Q,no,no
5,4,1.385236100804501,Q,A,no,yes
5,2,0.9182642917933106,5,6,no,no
9,7,0.9249950090694465,9,9,no,yes
3,2,0.9579952306430505,8,T,no,no
5,2,1.1977937724801682,A,K,no,yes
3,3,0.978780159589305,9,5,yes,no
4,2,0.9322357363607824,7,3,no,no
8,7,1.4927392736948417,K,K,no,no
3,3,0.36440807207437426,3,3,no,no
2,1,0.9265976812013653,K,8,no,yes
5,4,0.9305346409295517,J,6,yes,no
9,5,0.9123650269552018,6,7,no,no
6,5,0.9230107955226143,T,8,no,no
4,4,1.499635630457821,T,Q,yes,no
10,7,1.0249384585136765,Q,5,yes,no
8,1,0.7246791950044947,A,Q,no,no
5,2,1.0987247802759859,A,4,yes,yes
6,6,1.499635630457821,T,Q,yes,yes
4,3,0.8673166555618301,2,8,yes,no
4,4,0.8264746677572626,3,4,no,yes
10,7,1.160641742927971,A,K,yes,yes
8,5,0.9367254718285898,8,K,no,yes
7,6,0.353139097958944,J,A,yes,no
9,3,2.027734106257578,4,4,no,yes
5,1,1.0968042179867548,T,4,no,no
4,3,0.9995565460048627,J,Q,no,no
6,2,1.1576117793074885,A,6,no,no
3,1,2.027734106257578,4,4,no,no
7,7,1.0830642213805473,A,J,no,no
7,7,0.9443765671708272,A,7,no,yes
6,1,0.9870454281049331,2,A,no,no
3,1,0.48633041101961494,4,K,no,yes
15,9,0.9249950090694465,9,9,no,yes
5,1,0.13215461700048212,9,8,no,yes
10,7,0.7246791950044947,A,Q,no,no
10,2,1.6580712444145247,J,J,no,yes
17,2,0.763960801845207,8,8,no,no
10,7,1.0510109456457613,9,T,yes,no
6,3,1.1252155599985252,7,7,no,yes
3,3,1.6580712444145247,J,J,no,no
11,8,1.1370662649240875,6,6,no,yes
5,2,1.5785940198502193,A,A,no,yes
7,1,0.9460810049149326,Q,6,no,yes
5,1,0.9417243902663174,5,J,yes,yes
11,2,1.064608539286021,5,5,no,no
5,2,1.228849642531304,T,T,no,yes
10,8,0.9741230861439666,4,8,yes,yes
6,4,1.0562849246864696,9,K,yes,yes
9,6,0.13215461700048212,9,8,no,yes
4,1,0.9754320146937198,7,K,no,no
8,1,0.8190188872440579,9,2,no,yes
7,2,1.1977937724801682,A,K,no,no
7,1,0.9932890279925249,J,3,yes,yes
4,2,0.9950619774222901,Q,T,no,yes
4,1,0.9305346409295517,J,6,yes,yes
8,5,1.8181193541414165,K,5,no,yes
10,6,1.0888762864828898,J,A,no,yes
9,2,0.9524947668696624,9,A,no,no
4,3,0.9228683508124942,A,4,no,no
6,1,0.9334142767713047,K,7,no,no
10,8,1.0510109456457613,9,T,yes,no
8,2,1.4927392736948417,K,K,no,no
3,1,0.8807518977266834,8,Q,no,yes
6,2,1.1977937724801682,A,K,no,yes
3,2,0.8398918239907651,3,2,no,no
2,1,0.36440807207437426,3,3,no,yes
15,11,1.055723252329762,J,T,yes,yes
9,6,0.9123650269552018,6,7,no,no
9,7,1.5785940198502193,A,A,no,no
9,8,1.077283938588873,K,Q,no,no
4,1,0.9173589420454001,2,T,yes,yes
7,2,0.9334142767713047,K,7,no,no
5,2,0.9207049905527156,6,9,no,no
8,7,1.0282803214190552,2,A,yes,yes
10,4,0.7246791950044947,A,Q,no,yes
9,2,0.9460810049149326,Q,6,no,no
10,2,1.385236100804501,Q,A,no,no
3,3,0.48633041101961494,4,K,no,no
7,2,0.8431513181315079,Q,5,no,yes
5,4,1.0388543106243857,K,9,yes,no
6,4,1.0830642213805473,A,J,no,yes
6,4,1.162589416301302,Q,A,yes,yes
9,4,0.6179295869179771,Q,K,no,yes
2,2,0.8920116311555806,J,7,no,no
8,3,0.9462466159106948,A,2,no,no
6,1,0.9995565460048627,J,Q,no,yes
5,3,1.0250552626726792,A,8,no,yes
3,1,1.1576117793074885,A,6,no,no
5,4,1.0801449777884884,A,7,yes,yes
11,4,1.1977937724801682,A,K,no,no
8,2,0.9944912135581042,A,5,no,no
9,5,1.0573530305961791,J,K,no,no
10,9,1.6580712444145247,J,J,no,no
2,1,0.9282111688372733,K,3,yes,yes
4,4,1.0830642213805473,A,J,no,yes
10,6,0.8900681880443538,6,J,no,no
5,5,1.385236100804501,Q,A,no,no
8,2,0.5286319347233853,T,J,no,yes
5,2,1.0302289232126947,5,A,yes,yes
10,6,1.0573530305961791,J,K,no,no
10,8,1.1383135682644605,7,8,no,yes
3,2,0.540699798316623,3,Q,no,no
10,6,1.1370662649240875,6,6,no,no
10,3,1.0435289548234707,4,K,yes,no
17,2,1.0406110035804144,Q,J,no,no
10,6,1.1370662649240875,6,6,no,no
7,7,0.6179295869179771,Q,K,no,no
3,2,1.849063315668885,7,A,no,no
8,5,0.9912788201534324,4,A,no,yes
8,1,1.1723715157132208,9,J,no,no
3,3,1.0230320357887754,J,9,yes,yes
10,5,1.1370662649240875,6,6,no,yes
10,1,1.1370662649240875,6,6,no,no
2,2,1.026396340255781,K,T,no,no
3,2,0.9964806589465545,J,5,yes,yes
10,10,0.9911240768098023,K,9,no,yes
10,10,1.385236100804501,Q,A,no,yes
10,6,1.4742569044317095,T,A,yes,no
8,8,1.025536547827629,T,Q,no,yes
6,5,0.9695516863962785,K,6,no,no
14,14,0.6179295869179771,Q,K,no,no
4,3,1.018714678922945,J,9,no,no
9,6,1.0895170502091611,J,Q,yes,yes
6,5,0.9995565460048627,J,Q,no,no
11,8,1.6580712444145247,J,J,no,no
10,10,1.033413096967467,Q,Q,no,no
7,3,1.4927392736948417,K,K,no,yes
6,1,1.4742569044317095,T,A,yes,yes
6,3,0.9282111688372733,K,3,yes,yes
10,1,1.0278074564544872,6,K,yes,no
5,3,0.9361404232378916,8,9,no,no
3,2,0.6336320706388964,Q,2,yes,no
9,6,0.9995565460048627,J,Q,no,yes
3,3,1.064608539286021,5,5,no,yes
10,2,1.0018155039806829,9,Q,no,no
10,2,0.8932084843227183,8,T,yes,no
8,6,0.9417243902663174,5,J,yes,yes
2,1,0.9334142767713047,K,7,no,yes
10,6,0.9950619774222901,Q,T,no,no
7,5,1.162589416301302,Q,A,yes,yes
4,1,1.026396340255781,K,T,no,yes
9,1,1.0230502460574498,8,5,yes,yes
4,2,0.20608519301071743,3,A,no,no
9,2,2.485444406767983,4,J,yes,no
5,2,1.0007002934625784,5,T,no,no
7,5,1.0825533658854698,A,T,yes,no
3,1,0.9950619774222901,Q,T,no,no
3,1,0.999253655812775,8,6,yes,yes
11,6,0.9334142767713047,K,7,no,no
10,8,1.385236100804501,Q,A,no,yes
5,2,0.9528738302860825,T,6,no,no
9,3,1.1252155599985252,7,7,no,yes
8,4,0.9944912135581042,A,5,no,yes
9,1,0.9462466159106948,A,2,no,no
3,1,0.7844578719407068,2,J,no,no
11,2,0.9443765671708272,A,7,no,yes
5,3,0.6038403228295222,2,Q,yes,no
2,2,0.8155375967745949,2,3,no,yes
14,1,1.0249384585136765,Q,5,yes,no
8,1,0.9788258628666989,7,9,no,no
10,2,0.9123650269552018,6,7,no,yes
3,1,0.8745016903820707,5,4,no,yes
2,2,1.0250552626726792,A,8,no,no
